split,PMID,group,source,neg_kind,strata
train,1000531,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10028315,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10048327,pos,MEDLINE,pos,pos_MEDLINE
train,10050037,pos,MEDLINE,pos,pos_MEDLINE
train,10052460,pos,MEDLINE,pos,pos_MEDLINE
train,10064327,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10073051,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10075767,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10088909,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10089398,pos,MEDLINE,pos,pos_MEDLINE
train,10089878,pos,MEDLINE,pos,pos_MEDLINE
train,10091657,pos,MEDLINE,pos,pos_MEDLINE
train,10095786,pos,MEDLINE,pos,pos_MEDLINE
train,10135337,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10196134,pos,MEDLINE,pos,pos_MEDLINE
train,10201965,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10206951,pos,MEDLINE,pos,pos_MEDLINE
train,10211825,pos,MEDLINE,pos,pos_MEDLINE
train,10213805,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10217762,pos,MEDLINE,pos,pos_MEDLINE
train,10221449,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10231531,pos,MEDLINE,pos,pos_MEDLINE
train,10320322,pos,MEDLINE,pos,pos_MEDLINE
train,10323862,pos,MEDLINE,pos,pos_MEDLINE
train,10329170,pos,MEDLINE,pos,pos_MEDLINE
train,10331877,pos,MEDLINE,pos,pos_MEDLINE
train,10339411,pos,MEDLINE,pos,pos_MEDLINE
train,10339551,pos,MEDLINE,pos,pos_MEDLINE
train,10343415,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10352256,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10354344,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10356396,pos,MEDLINE,pos,pos_MEDLINE
train,10357378,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,1035810,pos,MEDLINE,pos,pos_MEDLINE
train,10367903,pos,MEDLINE,pos,pos_MEDLINE
train,10368638,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10369777,pos,MEDLINE,pos,pos_MEDLINE
train,10373373,pos,MEDLINE,pos,pos_MEDLINE
train,10375411,pos,MEDLINE,pos,pos_MEDLINE
train,10383444,pos,MEDLINE,pos,pos_MEDLINE
train,10390347,pos,MEDLINE,pos,pos_MEDLINE
train,10394359,pos,MEDLINE,pos,pos_MEDLINE
train,10400641,pos,MEDLINE,pos,pos_MEDLINE
train,10404077,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10409688,pos,MEDLINE,pos,pos_MEDLINE
train,10411248,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10425677,pos,MEDLINE,pos,pos_MEDLINE
train,10426411,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10428834,pos,MEDLINE,pos,pos_MEDLINE
train,10448665,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10455282,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10467102,pos,MEDLINE,pos,pos_MEDLINE
train,10467140,pos,MEDLINE,pos,pos_MEDLINE
train,10496225,pos,MEDLINE,pos,pos_MEDLINE
train,10497266,pos,MEDLINE,pos,pos_MEDLINE
train,10499800,pos,MEDLINE,pos,pos_MEDLINE
train,10508788,pos,MEDLINE,pos,pos_MEDLINE
train,10509889,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10517144,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10519148,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10520334,far_neg,MEDLINE,far_neg,far_neg_MEDLINE
train,10521276,pos,MEDLINE,pos,pos_MEDLINE
train,10525413,pos,MEDLINE,pos,pos_MEDLINE
train,10543947,pos,MEDLINE,pos,pos_MEDLINE
train,10543959,pos,MEDLINE,pos,pos_MEDLINE
train,10544036,pos,MEDLINE,pos,pos_MEDLINE
